dataset,seed,bootstrap_repeats,caliper,method,effect,ci_low,ci_high,ci_width,balance_after
nhefs,7,20,0.02,RegressionAdjustmentEstimator,3.3341674140824518,2.7330716511238418,3.9664931751645427,1.233421524040701,0.1521322101281169
nhefs,7,20,0.02,IPWEstimator,3.2634978711907743,2.8037243732771304,3.8163246177473655,1.0126002444702351,0.012853630864701801
nhefs,7,20,0.02,DoublyRobustEstimator,3.293647427944588,2.8510207606862794,3.893199365215849,1.0421786045295698,0.012853630864701768
nhefs,7,20,0.02,PropensityMatcher,3.2117884332647817,2.8437806887011603,4.402751287844737,1.5589705991435765,0.029879113398767032
nhefs,7,20,0.05,RegressionAdjustmentEstimator,3.3341674140824518,2.7330716511238418,3.9664931751645427,1.233421524040701,0.1521322101281169
nhefs,7,20,0.05,IPWEstimator,3.2634978711907743,2.8037243732771304,3.8163246177473655,1.0126002444702351,0.012853630864701801
nhefs,7,20,0.05,DoublyRobustEstimator,3.293647427944588,2.8510207606862794,3.893199365215849,1.0421786045295698,0.012853630864701768
nhefs,7,20,0.05,PropensityMatcher,3.179420589179487,2.8980820930113356,4.417628525034618,1.5195464320232825,0.03034650732298481
synthetic,7,20,0.02,RegressionAdjustmentEstimator,1.9846249321644263,1.8921263578335947,2.0912668259550586,0.1991404681214639,0.4101570945338573
synthetic,7,20,0.02,IPWEstimator,1.927137190707402,1.665250870441754,2.1814934726092714,0.5162426021675175,0.01574644379960979
synthetic,7,20,0.02,DoublyRobustEstimator,1.9354540855590772,1.8308319386901248,2.0796277023330942,0.2487957636429694,0.015746443799608996
synthetic,7,20,0.02,PropensityMatcher,1.7069487424995728,1.2118647304154162,2.3402698992458246,1.1284051688304084,0.05052043831836204
lalonde,7,40,0.03,RegressionAdjustmentEstimator,1548.2438020003797,50.28200941888935,2997.3887234388853,2947.106714019996,0.5085763727684149
lalonde,7,40,0.03,IPWEstimator,232.42121949850025,-1315.399233457845,2125.3041371494646,3440.70337060731,0.14935561296631406
lalonde,7,40,0.03,DoublyRobustEstimator,798.718243476316,-1865.7630308580653,2464.984925247387,4330.747956105452,0.15822617744353895
lalonde,7,40,0.03,PropensityMatcher,1052.1097784403669,-703.1668019803788,2832.9961417637182,3536.162943744097,0.0643519114997541
lalonde,7,40,0.05,RegressionAdjustmentEstimator,1548.2438020003797,50.28200941888935,2997.3887234388853,2947.106714019996,0.5085763727684149
lalonde,7,40,0.05,IPWEstimator,232.42121949850025,-1315.399233457845,2125.3041371494646,3440.70337060731,0.14935561296631406
lalonde,7,40,0.05,DoublyRobustEstimator,798.718243476316,-1865.7630308580653,2464.984925247387,4330.747956105452,0.15822617744353895
lalonde,7,40,0.05,PropensityMatcher,1540.0712793577982,-455.05891084280654,3123.296016976831,3578.354927819638,0.07344052274257647
