dgp,n,replication,estimator,estimate,se,ci_low,ci_high,covered,true_effect
double_nonlinear,200,0,DR,2.3813914935078806,0.16378950858621377,2.1306622800020993,2.4831221109287442,False,2.0
double_nonlinear,200,0,CrossFitDR,2.4996731544484754,0.2213592463122543,2.1449163425205873,2.5114462239115314,False,2.0
double_nonlinear,200,0,FlexibleDR,2.238986619054804,0.12616877664583084,2.1060625728843583,2.183131050799204,False,2.0
double_nonlinear,200,1,Regression,2.148269611457468,0.12928580846598017,1.8613104547680273,2.0977701367044617,True,2.0
double_nonlinear,200,1,Matching,1.9754210132564627,0.13834651868750467,1.7831251781499176,1.9254185111846718,False,2.0
double_nonlinear,200,1,IPW,2.147024742757845,0.2374369468740838,1.868780550306683,2.1095107298794473,True,2.0
double_nonlinear,200,1,DR,2.1416840825795216,0.1228192477354811,1.8413176540547302,2.0939988309970055,True,2.0
double_nonlinear,200,1,CrossFitDR,2.1532226727819914,0.12963249604177177,1.810389006593437,2.0770134451584705,True,2.0
double_nonlinear,200,1,FlexibleDR,2.043364851905565,0.08593503385740492,1.9539220852371275,1.9712189221202103,False,2.0
double_nonlinear,200,2,Regression,2.23999703892731,0.1239838942744185,2.1968633969084,2.2147224709053654,False,2.0
double_nonlinear,200,2,Matching,2.2265654121305936,0.14087169457294546,1.947039217699967,2.18629326412248,True,2.0
double_nonlinear,200,2,IPW,2.2432654860484966,0.2269690299402522,2.1940392768591344,2.2014300188253935,False,2.0
double_nonlinear,200,2,DR,2.257982677116445,0.11882145443933065,2.216936581173957,2.24391788811357,False,2.0
double_nonlinear,200,2,CrossFitDR,2.2577217997572188,0.1296909569685183,2.255552035207607,2.2586397447128275,False,2.0
double_nonlinear,200,2,FlexibleDR,2.125763279459035,0.08892038660719061,2.1382525136951367,2.2642443599067743,False,2.0
double_nonlinear,200,3,Regression,2.0853159304848825,0.12095874886837324,2.0457185647241496,2.2034379578151655,False,2.0
double_nonlinear,200,3,Matching,2.089531541779206,0.12844212095496615,2.0639506042876365,2.068263259443669,False,2.0
double_nonlinear,200,3,IPW,2.086899059805365,0.22925689704105717,2.0497022701443526,2.2349260974327443,False,2.0
double_nonlinear,200,3,DR,2.085711504486838,0.12003215746526479,2.052470358072274,2.21842272011605,False,2.0
double_nonlinear,200,3,CrossFitDR,2.0883703476964808,0.12651414860544705,2.070869900658109,2.357871797042544,False,2.0
double_nonlinear,200,3,FlexibleDR,1.9912134921339162,0.10427257699773858,2.007929104689074,2.0700965768439104,False,2.0
double_nonlinear,200,4,Regression,2.1255055452141276,0.13082877494942333,1.9448122974514277,2.158954007946131,True,2.0
double_nonlinear,200,4,Matching,1.8090495141139618,0.15910361368949627,1.8145073505282507,2.280446702104064,True,2.0
double_nonlinear,200,4,IPW,2.120658249709451,0.1973264977230852,1.9420299651577484,2.178226716399443,True,2.0
double_nonlinear,200,4,DR,2.123869405129818,0.1179613952023544,1.947954158858883,2.156722842752226,True,2.0
double_nonlinear,200,4,CrossFitDR,2.073442578841868,0.1292026515331548,1.9437488777438856,2.145455514974302,True,2.0
double_nonlinear,200,4,FlexibleDR,1.9946982000346474,0.10286504650599475,1.8508237500415132,2.145804689418669,True,2.0
double_nonlinear,200,5,Regression,2.169013180839253,0.11957465862095455,2.148265880721721,2.2171540282980913,False,2.0
double_nonlinear,200,5,Matching,2.109270758451426,0.15009850220290266,2.140749566906056,2.1776521448927753,False,2.0
double_nonlinear,200,5,IPW,2.1447168574454585,0.2562025061931231,2.12065705966492,2.211686227420623,False,2.0
double_nonlinear,200,5,DR,2.1599717981720206,0.12169850961221501,2.138852623100243,2.228194874332362,False,2.0
double_nonlinear,200,5,CrossFitDR,2.1533431666646288,0.13384207688549024,1.9566959765298066,2.158554813329724,True,2.0
double_nonlinear,200,5,FlexibleDR,1.9782734502821604,0.11382465597004758,1.6391886292044662,2.0276569549848644,True,2.0
double_nonlinear,200,6,Regression,2.173514767975685,0.12242674654695665,2.0387505282445133,2.1061700507085455,False,2.0
double_nonlinear,200,6,Matching,2.0198024236126733,0.15871545653508107,1.9363883953105463,1.9691759202426515,False,2.0
double_nonlinear,200,6,IPW,2.173110562531553,0.2263447534101343,2.04613564637918,2.1164542941778763,False,2.0
double_nonlinear,200,6,DR,2.1710527918824987,0.11969707803501238,2.035681197930337,2.1141299535695848,False,2.0
double_nonlinear,200,6,CrossFitDR,2.2003488204311235,0.12373990798206104,2.042359497951038,2.1293158058891866,False,2.0
double_nonlinear,200,6,FlexibleDR,2.144199636624161,0.09489741751494692,2.0938168408249767,2.180261393645547,False,2.0
double_nonlinear,200,7,Regression,2.267161329575907,0.1384327759143849,2.258979139351339,2.2691175604772353,False,2.0
double_nonlinear,200,7,Matching,2.071467884360949,0.13799862613423633,2.1269127747639347,2.2315015507742006,False,2.0
double_nonlinear,200,7,IPW,2.2878307306468897,0.22622925728903862,2.2630413215762206,2.28820967262094,False,2.0
double_nonlinear,200,7,DR,2.3121818710656914,0.1397757614686,2.266077240527908,2.3083628407094547,False,2.0
double_nonlinear,200,7,CrossFitDR,2.3667417335404055,0.15936595151677665,2.2934004045896415,2.333191630957452,False,2.0
double_nonlinear,200,7,FlexibleDR,2.159136357989363,0.11143803983409024,2.0622163422136603,2.343334235452377,False,2.0
double_nonlinear,200,8,Regression,2.2743440191971773,0.13515640953805708,2.336858191856335,2.3393779293465107,False,2.0
double_nonlinear,200,8,Matching,2.0970160632011914,0.11656541030592567,2.0707628071186157,2.1674049967458515,False,2.0
